cp_id,real_time,received_time,Id,msgFlow,command,payLoadData
1230,"22/09/2025, 11:59:31 pm IST","22/09/2025, 11:59:31 pm IST",243dc358-a66c-4536-93e4-e80e81e58ab9,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:29:31.657Z""}"
1230,"22/09/2025, 11:59:31 pm IST",,243dc358-a66c-4536-93e4-e80e81e58ab9,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:59:01 pm IST","22/09/2025, 11:59:01 pm IST",d46aa830-820b-45bb-9af3-c2b47da8eff6,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:29:01.604Z""}"
1230,"22/09/2025, 11:59:01 pm IST",,d46aa830-820b-45bb-9af3-c2b47da8eff6,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:58:31 pm IST","22/09/2025, 11:58:31 pm IST",3eab4e55-6c1b-4e2d-8770-eda7292a119d,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:28:31.555Z""}"
1230,"22/09/2025, 11:58:31 pm IST",,3eab4e55-6c1b-4e2d-8770-eda7292a119d,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:58:01 pm IST","22/09/2025, 11:58:01 pm IST",41edc8d8-1c5a-4bfb-bd64-2d85d8c3100a,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:28:01.561Z""}"
1230,"22/09/2025, 11:58:01 pm IST",,41edc8d8-1c5a-4bfb-bd64-2d85d8c3100a,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:57:31 pm IST","22/09/2025, 11:57:31 pm IST",effebf69-a7e6-4917-ab78-1cad7906edc9,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:27:31.504Z""}"
1230,"22/09/2025, 11:57:31 pm IST",,effebf69-a7e6-4917-ab78-1cad7906edc9,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:57:01 pm IST","22/09/2025, 11:57:01 pm IST",77055f29-fe13-426f-b6ac-d694ca07544e,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:27:01.420Z""}"
1230,"22/09/2025, 11:57:01 pm IST",,77055f29-fe13-426f-b6ac-d694ca07544e,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:56:31 pm IST","22/09/2025, 11:56:31 pm IST",83f520b1-f85a-4318-8d68-595520ea591a,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:26:31.345Z""}"
1230,"22/09/2025, 11:56:31 pm IST",,83f520b1-f85a-4318-8d68-595520ea591a,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:56:01 pm IST","22/09/2025, 11:56:01 pm IST",aec7462a-bde2-4275-a2b8-d2eefcd6410a,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:26:01.273Z""}"
1230,"22/09/2025, 11:56:01 pm IST",,aec7462a-bde2-4275-a2b8-d2eefcd6410a,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:55:31 pm IST","22/09/2025, 11:55:31 pm IST",5afe9a05-d6ce-461e-9ca3-dc3c5bb916bf,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:25:31.188Z""}"
1230,"22/09/2025, 11:55:31 pm IST",,5afe9a05-d6ce-461e-9ca3-dc3c5bb916bf,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:55:01 pm IST","22/09/2025, 11:55:01 pm IST",6a0ad902-facd-4174-ba64-4538c43a6a96,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:25:01.114Z""}"
1230,"22/09/2025, 11:55:01 pm IST",,6a0ad902-facd-4174-ba64-4538c43a6a96,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:54:31 pm IST","22/09/2025, 11:54:31 pm IST",18c7f94c-c366-459d-9037-539584099fdd,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:24:31.047Z""}"
1230,"22/09/2025, 11:54:31 pm IST",,18c7f94c-c366-459d-9037-539584099fdd,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:54:00 pm IST","22/09/2025, 11:54:00 pm IST",d8605105-21da-41cd-ad8f-05a500bd590a,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:24:00.957Z""}"
1230,"22/09/2025, 11:54:00 pm IST",,d8605105-21da-41cd-ad8f-05a500bd590a,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:53:30 pm IST","22/09/2025, 11:53:30 pm IST",9976ed40-8e11-4d61-b730-ce3a36246f3b,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:23:30.860Z""}"
1230,"22/09/2025, 11:53:30 pm IST",,9976ed40-8e11-4d61-b730-ce3a36246f3b,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:53:00 pm IST","22/09/2025, 11:53:00 pm IST",db8e56e2-4a92-475c-83fa-f0278cd1c099,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:23:00.842Z""}"
1230,"22/09/2025, 11:53:00 pm IST",,db8e56e2-4a92-475c-83fa-f0278cd1c099,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:52:31 pm IST","22/09/2025, 11:52:31 pm IST",bd44f05e-7dc6-4567-833b-c936a5cfc73c,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:22:31.099Z""}"
1230,"22/09/2025, 11:52:31 pm IST",,bd44f05e-7dc6-4567-833b-c936a5cfc73c,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:52:00 pm IST","22/09/2025, 11:52:00 pm IST",477c8b46-0fc3-4198-8c1b-0423c8887c8c,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:22:00.631Z""}"
1230,"22/09/2025, 11:52:00 pm IST",,477c8b46-0fc3-4198-8c1b-0423c8887c8c,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:51:30 pm IST","22/09/2025, 11:51:30 pm IST",1bfbb6e6-41f1-49c5-bcee-f61afbb7cbad,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:21:30.523Z""}"
1230,"22/09/2025, 11:51:30 pm IST",,1bfbb6e6-41f1-49c5-bcee-f61afbb7cbad,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:51:00 pm IST","22/09/2025, 11:51:00 pm IST",55a8dd6d-51a4-493e-abc9-e4081aa4671d,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:21:00.411Z""}"
1230,"22/09/2025, 11:51:00 pm IST",,55a8dd6d-51a4-493e-abc9-e4081aa4671d,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:50:30 pm IST","22/09/2025, 11:50:30 pm IST",8ac27036-beb9-4532-9f37-64ed9ac5082a,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:20:30.315Z""}"
1230,"22/09/2025, 11:50:30 pm IST",,8ac27036-beb9-4532-9f37-64ed9ac5082a,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:50:00 pm IST","22/09/2025, 11:50:00 pm IST",27a03ef9-7225-4603-b098-119344db207c,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:20:00.220Z""}"
1230,"22/09/2025, 11:50:00 pm IST",,27a03ef9-7225-4603-b098-119344db207c,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:49:30 pm IST","22/09/2025, 11:49:30 pm IST",96698b79-a257-4335-bdd7-6242078c250b,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:19:30.121Z""}"
1230,"22/09/2025, 11:49:30 pm IST",,96698b79-a257-4335-bdd7-6242078c250b,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:49:00 pm IST","22/09/2025, 11:49:00 pm IST",19eb5b4f-b073-4a2d-b0f1-52a960435514,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:19:00.010Z""}"
1230,"22/09/2025, 11:48:59 pm IST",,19eb5b4f-b073-4a2d-b0f1-52a960435514,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:48:29 pm IST","22/09/2025, 11:48:29 pm IST",06dfcfb0-b5e1-48e2-8fe6-0e2ec2749111,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:18:29.910Z""}"
1230,"22/09/2025, 11:48:29 pm IST",,06dfcfb0-b5e1-48e2-8fe6-0e2ec2749111,CP-->CMS,HeartbeatRequest,{}
1230,"22/09/2025, 11:47:59 pm IST","22/09/2025, 11:47:59 pm IST",aa14b13e-2ebf-4daf-93cd-304ac53e599e,CMS-->CP,HeartbeatResponse,"{""currentTime"":""2025-09-22T18:17:59.898Z""}"
1230,"22/09/2025, 11:47:59 pm IST",,aa14b13e-2ebf-4daf-93cd-304ac53e599e,CP-->CMS,HeartbeatRequest,{}
